Team,Season,Season.Type,GP,TOI,CF,CA,CF60,CA60,CF_Perc,CSh_Perc,CSv_Perc,FF,FA,FF60,FA60,FF_Perc,FSh_Perc,FSv_Perc,SF,SA,SF60,SA60,SF_Perc,Sh_Perc,Sv_Perc,xGF,xGA,xGF60,xGA60,xGF_Perc,SCF,SCA,SCF60,SCA60,SCF_Perc,xFSh_Perc,xFSv_Perc,Adj.FSv_Perc,PDO,xPDO,GF,GA,GF60,GA60,GF_Perc,FO_Perc,PENDIFF
ARI,20142015,Regular,82,393.12,653,93,99.66,14.19,87.53,6.43,94.62,483,80,73.72,12.21,85.79,8.7,93.75,337,62,51.43,9.46,84.46,12.46,91.94,42.66,5.02,6.51,0.77,89.48,166,22,25.34,3.36,88.3,8.83,93.73,0.02,104.4,102.56,42,5,6.41,0.76,89.36,58.6,-32
ARI,20152016,Regular,82,513.17,763,105,89.21,12.28,87.9,5.77,89.52,556,93,65.01,10.87,85.67,7.91,88.17,400,81,46.77,9.47,83.16,11,86.42,52.86,6.77,6.18,0.79,88.64,198,27,23.15,3.16,88,9.51,92.72,-4.55,97.42,102.23,44,11,5.14,1.29,80,58.57,-26
ARI,20162017,Regular,82,413.9,526,83,76.25,12.03,86.37,6.08,92.77,396,74,57.41,10.73,84.26,8.08,91.89,278,57,40.3,8.26,82.99,11.51,89.47,35.22,4.4,5.11,0.64,88.89,134,13,19.42,1.88,91.16,8.89,94.05,-2.16,100.98,102.95,32,6,4.64,0.87,84.21,50.64,-23
ATL,20072008,Regular,82,536.35,624,133,69.81,14.88,82.43,6.41,93.23,473,118,52.91,13.2,80.03,8.46,92.37,356,100,39.82,11.19,78.07,11.24,91,45.43,7.7,5.08,0.86,85.51,165,26,18.46,2.91,86.39,9.6,93.48,-1.1,102.24,103.08,40,9,4.47,1.01,81.63,58.9,-17
ATL,20082009,Regular,82,598.95,769,123,77.03,12.32,86.21,7.93,92.68,562,101,56.3,10.12,84.77,10.85,91.09,413,75,41.37,7.51,84.63,14.77,88,54.4,7.34,5.45,0.73,88.12,197,26,19.73,2.6,88.34,9.68,92.74,-1.65,102.77,102.42,61,9,6.11,0.9,87.14,54.92,-33
ATL,20092010,Regular,82,567.56,709,119,74.95,12.58,85.63,6.49,96.64,529,102,55.92,10.78,83.84,8.7,96.08,382,75,40.38,7.93,83.59,12.04,94.67,49.78,8.23,5.26,0.87,85.81,177,37,18.71,3.91,82.71,9.41,91.93,4.15,106.71,101.34,46,4,4.86,0.42,92,50.87,-38
ATL,20102011,Regular,82,461.65,651,105,84.61,13.65,86.11,6.91,93.33,492,85,63.94,11.05,85.27,9.15,91.76,357,73,46.4,9.49,83.02,12.61,90.41,43.6,5.97,5.67,0.78,87.95,150,22,19.5,2.86,87.21,8.86,92.97,-1.21,103.02,101.83,45,7,5.85,0.91,86.54,51.99,-23
BOS,20072008,Regular,82,539.33,630,122,70.09,13.57,83.78,7.62,95.9,505,105,56.18,11.68,82.79,9.5,95.24,365,94,40.61,10.46,79.52,13.15,94.68,41.24,6.63,4.59,0.74,86.14,141,24,15.69,2.67,85.45,8.17,93.68,1.56,107.83,101.85,48,5,5.34,0.56,90.57,52.2,-35
BOS,20082009,Regular,81,512.77,759,107,88.81,12.52,87.64,8.7,93.46,585,85,68.45,9.95,87.31,11.28,91.76,436,68,51.02,7.96,86.51,15.14,89.71,51.29,5.47,6,0.64,90.37,191,25,22.35,2.93,88.43,8.77,93.57,-1.81,104.84,102.34,66,7,7.72,0.82,90.41,52.5,-33
BOS,20092010,Regular,82,443.23,619,94,83.79,12.72,86.82,6.3,96.81,457,85,61.86,11.51,84.32,8.53,96.47,337,73,45.62,9.88,82.2,11.57,95.89,39.65,5.47,5.37,0.74,87.88,145,21,19.63,2.84,87.35,8.68,93.57,2.9,107.46,102.24,39,3,5.28,0.41,92.86,51.54,-37
BOS,20102011,Regular,82,476.25,683,116,86.05,14.61,85.48,5.27,96.55,512,109,64.5,13.73,82.45,7.03,96.33,374,85,47.12,10.71,81.48,9.63,95.29,42.58,6.21,5.36,0.78,87.27,163,23,20.54,2.9,87.63,8.32,94.3,2.03,104.92,102.62,36,4,4.54,0.5,90,50.32,-22
BOS,20112012,Regular,82,432.44,632,84,87.69,11.65,88.27,6.33,98.81,453,72,62.85,9.99,86.29,8.83,98.61,311,55,43.15,7.63,84.97,12.86,98.18,35.91,2.97,4.98,0.41,92.36,119,8,16.51,1.11,93.7,7.93,95.87,2.74,111.04,103.8,40,1,5.55,0.14,97.56,52.63,-36
BOS,20122013,Regular,48,211.03,287,43,81.6,12.23,86.97,5.57,95.35,218,36,61.98,10.24,85.83,7.34,94.44,158,32,44.92,9.1,83.16,10.13,93.75,17.12,2.41,4.87,0.68,87.67,57,5,16.21,1.42,91.94,7.85,93.31,1.14,103.88,101.16,16,2,4.55,0.57,88.89,65.1,-13
BOS,20132014,Regular,82,393.35,625,69,95.33,10.52,90.06,7.84,91.3,460,60,70.17,9.15,88.46,10.65,90,340,52,51.86,7.93,86.73,14.41,88.46,42.48,4.59,6.48,0.7,90.24,167,17,25.47,2.59,90.76,9.23,92.35,-2.35,102.87,101.58,49,6,7.47,0.92,89.09,56.6,-35
BOS,20142015,Regular,82,392.07,680,71,104.06,10.87,90.55,5.29,95.77,495,60,75.75,9.18,89.19,7.27,95,331,50,50.65,7.65,86.88,10.88,94,39.25,3.57,6.01,0.55,91.66,136,14,20.81,2.14,90.67,7.93,94.05,0.95,104.88,101.98,36,3,5.51,0.46,92.31,57.53,-24
BOS,20152016,Regular,82,399.8,696,83,104.45,12.46,89.35,6.47,97.59,514,72,77.14,10.81,87.71,8.75,97.22,347,57,52.08,8.55,85.89,12.97,96.49,40.81,4.33,6.12,0.65,90.4,136,16,20.41,2.4,89.47,7.94,93.98,3.24,109.46,101.92,45,2,6.75,0.3,95.74,54.63,-17
BOS,20162017,Regular,82,422.91,701,83,99.45,11.78,89.41,6.85,92.77,532,71,75.48,10.07,88.23,9.02,91.55,379,57,53.77,8.09,86.93,12.66,89.47,43.49,4.33,6.17,0.61,90.95,150,11,21.28,1.56,93.17,8.17,93.91,-2.36,102.14,102.08,48,6,6.81,0.85,88.89,56.78,-21
BUF,20072008,Regular,82,597.85,800,135,80.29,13.55,85.56,6.5,94.81,620,116,62.22,11.64,84.24,8.39,93.97,442,93,44.36,9.33,82.62,11.76,92.47,52.57,6.27,5.28,0.63,89.34,194,20,19.47,2.01,90.65,8.48,94.6,-0.63,104.24,103.07,52,7,5.22,0.7,88.14,58.84,-34
BUF,20082009,Regular,82,573.38,821,112,85.91,11.72,88,7.31,96.43,608,90,63.62,9.42,87.11,9.87,95.56,437,72,45.73,7.53,85.85,13.73,94.44,51.11,5.37,5.35,0.56,90.49,182,18,19.04,1.88,91,8.41,94.03,1.52,108.17,102.44,60,4,6.28,0.42,93.75,49.65,-29
BUF,20092010,Regular,82,526.52,718,154,81.82,17.55,82.34,6.69,98.7,539,133,61.42,15.16,80.21,8.91,98.5,389,108,44.33,12.31,78.27,12.34,98.15,54.44,9.5,6.2,1.08,85.14,197,36,22.45,4.1,84.55,10.1,92.86,5.64,110.49,102.96,48,2,5.47,0.23,96,56.39,-31
BUF,20102011,Regular,82,465.2,700,107,90.28,13.8,86.74,6.86,88.79,525,91,67.71,11.74,85.23,9.14,86.81,393,66,50.69,8.51,85.62,12.21,81.82,51.54,6.18,6.65,0.8,89.29,210,24,27.09,3.1,89.74,9.82,93.2,-6.39,94.03,103.02,48,12,6.19,1.55,80,50,-22
BUF,20112012,Regular,82,441.6,652,103,88.59,13.99,86.36,5.67,93.2,475,93,64.54,12.64,83.63,7.79,92.47,346,74,47.01,10.05,82.38,10.69,90.54,43.74,7.28,5.94,0.99,85.73,163,29,22.15,3.94,84.9,9.21,92.17,0.3,101.23,101.38,37,7,5.03,0.95,84.09,50.57,-26
BUF,20122013,Regular,48,278.51,358,64,77.12,13.79,84.83,5.03,89.06,257,56,55.37,12.06,82.11,7,87.5,190,47,40.93,10.13,80.17,9.47,85.11,21.71,3.39,4.68,0.73,86.48,76,12,16.37,2.59,86.36,8.45,93.94,-6.44,94.58,102.39,18,7,3.88,1.51,72,48.19,-7
BUF,20132014,Regular,82,458.22,590,87,77.26,11.39,87.15,5.59,94.25,444,79,58.14,10.34,84.89,7.43,93.67,316,59,41.38,7.73,84.27,10.44,91.53,42.48,4.21,5.56,0.55,90.99,154,11,20.16,1.44,93.33,9.57,94.67,-1,101.97,104.24,33,5,4.32,0.65,86.84,49.33,-9
BUF,20142015,Regular,82,406.38,479,108,70.72,15.95,81.6,5.85,92.59,376,87,55.51,12.85,81.21,7.45,90.8,278,69,41.05,10.19,80.12,10.07,88.41,36.94,5.99,5.45,0.88,86.05,149,25,22,3.69,85.63,9.82,93.11,-2.31,98.48,102.94,28,8,4.13,1.18,77.78,47.86,-22
BUF,20152016,Regular,82,439.54,660,86,90.09,11.74,88.47,7.12,93.02,499,73,68.12,9.96,87.24,9.42,91.78,374,52,51.05,7.1,87.79,12.57,88.46,41.4,5.52,5.65,0.75,88.23,137,21,18.7,2.87,86.71,8.3,92.44,-0.66,101.03,100.73,47,6,6.42,0.82,88.68,55.36,-8
BUF,20162017,Regular,82,408.33,625,79,91.84,11.61,88.78,8.48,94.94,475,72,69.8,10.58,86.84,11.16,94.44,349,63,51.28,9.26,84.71,15.19,93.65,41.96,3.91,6.17,0.57,91.48,155,11,22.78,1.62,93.37,8.83,94.57,-0.12,108.84,103.4,53,4,7.79,0.59,92.98,59.55,-11
