Team,Season,Season.Type,GP,TOI,CF,CA,CF60,CA60,CF_Perc,CSh_Perc,CSv_Perc,FF,FA,FF60,FA60,FF_Perc,FSh_Perc,FSv_Perc,SF,SA,SF60,SA60,SF_Perc,Sh_Perc,Sv_Perc,xGF,xGA,xGF60,xGA60,xGF_Perc,SCF,SCA,SCF60,SCA60,SCF_Perc,xFSh_Perc,xFSv_Perc,Adj.FSv_Perc,PDO,xPDO,GF,GA,GF60,GA60,GF_Perc,FO_Perc,PENDIFF
ANA,20072008,Regular,83,3438.39,2720,2613,47.46,45.6,51,4.08,96.25,2145,2101,37.43,36.66,50.52,5.17,95.34,1538,1544,26.84,26.94,49.9,7.22,93.65,124.73,127.73,2.18,2.23,49.41,392,432,6.84,7.54,47.57,5.81,93.92,1.41,100.87,99.74,111,98,1.94,1.71,53.11,50.9,-58
ANA,20082009,Regular,82,3570.98,3082,2965,51.78,49.82,50.97,4.74,95.58,2454,2402,41.23,40.36,50.54,5.95,94.55,1741,1726,29.25,29,50.22,8.39,92.41,151.07,143.33,2.54,2.41,51.31,498,482,8.37,8.1,50.82,6.16,94.03,0.51,100.8,100.19,146,131,2.45,2.2,52.71,49.9,-108
ANA,20092010,Regular,83,3702.22,3169,3536,51.36,57.31,47.26,4.64,95.9,2475,2826,40.11,45.8,46.69,5.94,94.87,1794,2012,29.07,32.61,47.14,8.19,92.79,151.81,176.45,2.46,2.86,46.25,496,618,8.04,10.02,44.52,6.13,93.76,1.11,100.99,99.89,147,145,2.38,2.35,50.34,48.12,-35
ANA,20102011,Regular,82,3782.62,3022,3793,47.94,60.16,44.34,4.4,95.94,2356,2870,37.37,45.52,45.08,5.65,94.63,1701,2002,26.98,31.76,45.94,7.82,92.31,140,172.06,2.22,2.73,44.86,480,570,7.61,9.04,45.71,5.94,94,0.63,100.13,99.95,133,154,2.11,2.44,46.34,47.77,-4
ANA,20112012,Regular,82,3833.42,3350,3538,52.43,55.38,48.64,4.15,95.59,2515,2637,39.36,41.27,48.82,5.53,94.08,1739,1856,27.22,29.05,48.37,7.99,91.59,151,161.37,2.36,2.53,48.34,489,525,7.65,8.22,48.22,6,93.88,0.2,99.59,99.88,139,156,2.18,2.44,47.12,47.27,8
ANA,20122013,Regular,48,2309.23,1985,2161,51.58,56.15,47.88,4.53,96.67,1451,1542,37.7,40.07,48.48,6.2,95.33,1040,1039,27.02,27,50.02,8.65,93.07,90.01,90.22,2.34,2.34,49.94,302,285,7.85,7.41,51.45,6.2,94.15,1.18,101.72,100.35,90,72,2.34,1.87,55.56,47.66,-30
ANA,20132014,Regular,82,3804.51,3555,3559,56.07,56.13,49.97,5.34,96.18,2687,2653,42.38,41.84,50.32,7.07,94.87,1941,1821,30.61,28.72,51.59,9.79,92.53,173.29,157.92,2.73,2.49,52.32,606,520,9.56,8.2,53.82,6.45,94.05,0.83,102.32,100.5,190,136,3,2.14,58.28,49.72,3
ANA,20142015,Regular,82,3899.11,3682,3504,56.66,53.92,51.24,4.26,95.78,2780,2597,42.78,39.96,51.7,5.65,94.3,1894,1836,29.15,28.25,50.78,8.29,91.94,164.98,151.56,2.54,2.33,52.12,554,490,8.53,7.54,53.07,5.93,94.16,0.14,100.23,100.1,157,148,2.42,2.28,51.48,52.12,3
ANA,20152016,Regular,82,3819.2,3643,3314,57.23,52.06,52.36,3.49,96.05,2744,2423,43.11,38.07,53.11,4.63,94.59,1914,1722,30.07,27.05,52.64,6.64,92.39,157.53,144.13,2.47,2.26,52.22,531,494,8.34,7.76,51.8,5.74,94.05,0.54,99.03,99.79,127,131,2,2.06,49.22,51.44,-27
ANA,20162017,Regular,82,3812.33,3505,3552,55.16,55.9,49.67,4.14,96.4,2646,2637,41.64,41.5,50.09,5.48,95.15,1869,1829,29.42,28.79,50.54,7.76,93,169.71,151.84,2.67,2.39,52.78,567,495,8.92,7.79,53.39,6.41,94.24,0.9,100.76,100.66,145,128,2.28,2.01,53.11,54.19,-18
ARI,20072008,Regular,82,3612.64,3229,3357,53.63,55.75,49.03,3.78,96.01,2526,2618,41.95,43.48,49.11,4.83,94.88,1868,1876,31.02,31.16,49.89,6.53,92.86,137.79,149.76,2.29,2.49,47.92,450,492,7.47,8.17,47.77,5.45,94.28,0.6,99.39,99.73,122,134,2.03,2.23,47.66,50,2
ARI,20082009,Regular,81,3665.28,3051,3658,49.94,59.88,45.48,4.26,95.68,2292,2746,37.52,44.95,45.49,5.67,94.25,1666,1945,27.27,31.84,46.14,7.8,91.88,127.69,153.19,2.09,2.51,45.46,423,511,6.92,8.36,45.29,5.57,94.42,-0.18,99.68,99.99,130,158,2.13,2.59,45.14,45.67,22
ARI,20092010,Regular,82,3670.11,3472,3200,56.76,52.31,52.04,4.29,95.97,2652,2505,43.36,40.95,51.43,5.62,94.85,1906,1757,31.16,28.72,52.03,7.82,92.66,151.82,143.7,2.48,2.35,51.37,524,477,8.57,7.8,52.35,5.72,94.26,0.59,100.48,99.99,149,129,2.44,2.11,53.6,50,7
ARI,20102011,Regular,82,3782.57,3649,3605,57.88,57.18,50.3,4.28,96.34,2749,2805,43.61,44.49,49.5,5.67,95.29,1944,1970,30.84,31.25,49.67,8.02,93.3,158.84,165.37,2.52,2.62,48.99,547,584,8.68,9.26,48.36,5.78,94.1,1.19,101.32,99.88,156,132,2.47,2.09,54.17,52.61,-6
ARI,20112012,Regular,82,3907.87,3703,3731,56.85,57.28,49.81,4.27,96.25,2771,2878,42.54,44.19,49.05,5.7,95.14,1968,2044,30.22,31.38,49.05,8.03,93.15,163.63,172.42,2.51,2.65,48.69,561,615,8.61,9.44,47.7,5.91,94.01,1.13,101.18,99.91,158,140,2.43,2.15,53.02,49.48,-12
ARI,20122013,Regular,48,2222.69,2172,2114,58.63,57.07,50.68,3.96,96.17,1646,1596,44.43,43.08,50.77,5.22,94.92,1159,1144,31.29,30.88,50.33,7.42,92.92,94.37,94.84,2.55,2.56,49.88,273,303,7.37,8.18,47.4,5.73,94.06,0.87,100.34,99.79,86,81,2.32,2.19,51.5,51.64,16
ARI,20132014,Regular,82,3832.45,3598,3519,56.33,55.09,50.56,3.84,96.19,2652,2653,41.52,41.53,49.99,5.2,94.95,1897,1908,29.7,29.87,49.86,7.27,92.98,141.1,158.78,2.21,2.49,47.05,460,550,7.2,8.61,45.54,5.32,94.02,0.93,100.25,99.34,138,134,2.16,2.1,50.74,51.77,-10
ARI,20142015,Regular,82,3908.65,3622,3825,55.6,58.72,48.64,2.93,95.45,2635,2862,40.45,43.93,47.94,4.02,93.92,1858,2046,28.52,31.41,47.59,5.71,91.5,142.05,166.98,2.18,2.56,45.97,426,553,6.54,8.49,43.51,5.39,94.17,-0.25,97.2,99.56,106,174,1.63,2.67,37.86,51.73,-9
ARI,20152016,Regular,82,3688.7,3231,3673,52.56,59.74,46.8,4.05,96.3,2392,2781,38.91,45.24,46.24,5.48,95.11,1682,1932,27.36,31.43,46.54,7.79,92.96,132.16,152.52,2.15,2.48,46.42,459,508,7.47,8.26,47.47,5.52,94.52,0.59,100.75,100.04,131,136,2.13,2.21,49.06,54.21,-19
ARI,20162017,Regular,82,3920.41,3412,4163,52.22,63.71,45.04,3.87,95.99,2562,3202,39.21,49.01,44.45,5.15,94.78,1813,2221,27.75,33.99,44.94,7.28,92.48,144.49,195.03,2.21,2.98,42.56,478,652,7.32,9.98,42.3,5.64,93.91,0.88,99.76,99.55,132,167,2.02,2.56,44.15,48.22,-11
ATL,20072008,Regular,82,3620.98,2638,3512,43.71,58.19,42.89,4.74,95.1,2002,2717,33.17,45.02,42.42,6.24,93.67,1505,2052,24.94,34,42.31,8.31,91.62,129.42,165.54,2.14,2.74,43.88,443,495,7.34,8.2,47.23,6.46,93.91,-0.24,99.92,100.37,125,172,2.07,2.85,42.09,51.91,-63
ATL,20082009,Regular,82,3519.89,2923,3391,49.83,57.8,46.29,5.03,95.31,2247,2593,38.3,44.2,46.43,6.54,93.87,1631,1933,27.8,32.95,45.76,9.01,91.77,144.2,164.07,2.46,2.8,46.78,485,573,8.27,9.77,45.84,6.42,93.67,0.2,100.79,100.09,147,159,2.51,2.71,48.04,51.28,-21
ATL,20092010,Regular,82,3606.14,3248,3436,54.04,57.17,48.59,4.96,95.11,2415,2642,40.18,43.96,47.76,6.67,93.64,1794,1992,29.85,33.14,47.39,8.97,91.57,147.34,169.88,2.45,2.83,46.45,514,609,8.55,10.13,45.77,6.1,93.57,0.07,100.54,99.67,161,168,2.68,2.8,48.94,51.97,-9
ATL,20102011,Regular,82,3852.31,3578,3772,55.73,58.75,48.68,3.86,95.6,2712,2732,42.24,42.55,49.82,5.09,93.92,1973,2034,30.73,31.68,49.24,6.99,91.84,155.26,174.93,2.42,2.72,47.02,537,625,8.36,9.73,46.21,5.72,93.6,0.33,98.83,99.32,138,166,2.15,2.59,45.39,48.86,-8
BOS,20072008,Regular,82,3608.7,3176,3024,52.81,50.28,51.23,3.87,96.1,2417,2368,40.19,39.37,50.51,5.09,95.02,1741,1773,28.95,29.48,49.54,7.06,93.34,124.07,133.93,2.06,2.23,48.09,386,491,6.42,8.16,44.01,5.13,94.34,0.67,100.41,99.48,123,118,2.05,1.96,51.04,49.64,-25
BOS,20082009,Regular,81,3682.88,3327,3260,54.2,53.11,50.51,4.96,96.53,2511,2481,40.91,40.42,50.3,6.57,95.45,1827,1871,29.76,30.48,49.41,9.03,93.96,148.97,143.05,2.43,2.33,51.01,550,504,8.96,8.21,52.18,5.93,94.23,1.21,102.99,100.17,165,113,2.69,1.84,59.35,51.12,0
BOS,20092010,Regular,82,3847.17,3622,3261,56.49,50.86,52.62,3.64,95.74,2712,2464,42.3,38.43,52.4,4.87,94.36,1992,1844,31.07,28.76,51.93,6.63,92.46,146.77,135.05,2.29,2.11,52.08,519,453,8.09,7.06,53.4,5.41,94.52,-0.16,99.09,99.93,132,139,2.06,2.17,48.71,53.53,-21
