ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	corAns	Experiment	Experiment.Cycle	Experiment.Sample	jitter	probNum	probType	probVer	Procedure	Running	slot1	slot10	slot11	slot12	slot2	slot3	slot4	slot5	slot6	slot7	slot8	slot9	sourceType	stimulus.ACC	stimulus.CRESP	stimulus.RESP	stimulus.RT	stimulus.RTTime	target1Type	target2Type
Fractal Experiment	415	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2016-01-26T17:03:20Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2337939</Frequency><Timestamp dt:dt="r8">4423965571168</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2016-01-26T17:03:20Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Fractal Experiment-415-1	60.020	1.0.0.253	1	149717173	Standard	2.0.10.356	2.0.10.356	01-26-2016	1/26/2016 5:03:20 PM	11:03:20	2.0.10.252	78	1	78	1	78	683	66	s	s2	fractal	Experiment	Images\fractal210.png	Images\fractal353.png	Images\fractal354.png	Images\fractal354.png	Images\fractal210.png	Images\fractal211.png	Images\fractal211.png	Images\fractal226.png	Images\fractal226.png	Images\fractal227.png	Images\fractal227.png	Images\fractal352.png	ss	1	1	1	2133	704946	ss	ds
Fractal Experiment	415	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2016-01-26T17:03:20Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2337939</Frequency><Timestamp dt:dt="r8">4423965571168</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2016-01-26T17:03:20Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Fractal Experiment-415-1	60.020	1.0.0.253	1	149717173	Standard	2.0.10.356	2.0.10.356	01-26-2016	1/26/2016 5:03:20 PM	11:03:20	2.0.10.252	79	2	79	1	79	687	20	p	p2	fractal	Experiment	Images\fractal39.png	Images\fractal39.png	Images\fractal39.png	Images\fractal39.png	Images\fractal39.png	Images\fractal39.png	Images\fractal39.png	Images\fractal40.png	Images\fractal40.png	Images\fractal40.png	Images\fractal40.png	Images\fractal39.png	s	1	2	2	1121	707866	d	s
Fractal Experiment	415	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2016-01-26T17:03:20Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2337939</Frequency><Timestamp dt:dt="r8">4423965571168</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2016-01-26T17:03:20Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Fractal Experiment-415-1	60.020	1.0.0.253	1	149717173	Standard	2.0.10.356	2.0.10.356	01-26-2016	1/26/2016 5:03:20 PM	11:03:20	2.0.10.252	80	1	80	1	80	904	36	a	a1	fractal	Experiment	Images\fractal76.png	Images\fractal78.png	Images\fractal79.png	Images\fractal79.png	Images\fractal76.png	Images\fractal76.png	Images\fractal76.png	Images\fractal77.png	Images\fractal77.png	Images\fractal77.png	Images\fractal77.png	Images\fractal78.png	s	1	1	1	1157	711034	s	d
Fractal Experiment	415	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2016-01-26T17:03:20Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2337939</Frequency><Timestamp dt:dt="r8">4423965571168</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2016-01-26T17:03:20Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Fractal Experiment-415-1	60.020	1.0.0.253	1	149717173	Standard	2.0.10.356	2.0.10.356	01-26-2016	1/26/2016 5:03:20 PM	11:03:20	2.0.10.252	81	1	81	1	81	515	14	p	p1	fractal	Experiment	Images\fractal27.png	Images\fractal28.png	Images\fractal28.png	Images\fractal28.png	Images\fractal27.png	Images\fractal27.png	Images\fractal27.png	Images\fractal27.png	Images\fractal27.png	Images\fractal27.png	Images\fractal27.png	Images\fractal28.png	s	1	1	1	1262	713922	s	d
Fractal Experiment	415	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2016-01-26T17:03:20Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2337939</Frequency><Timestamp dt:dt="r8">4423965571168</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2016-01-26T17:03:20Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Fractal Experiment-415-1	60.020	1.0.0.253	1	149717173	Standard	2.0.10.356	2.0.10.356	01-26-2016	1/26/2016 5:03:20 PM	11:03:20	2.0.10.252	82	1	82	1	82	645	3	p	p1	fractal	Experiment	Images\fractal5.png	Images\fractal6.png	Images\fractal6.png	Images\fractal6.png	Images\fractal5.png	Images\fractal5.png	Images\fractal5.png	Images\fractal5.png	Images\fractal5.png	Images\fractal5.png	Images\fractal5.png	Images\fractal6.png	s	1	1	1	894	716586	s	d
Fractal Experiment	415	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2016-01-26T17:03:20Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2337939</Frequency><Timestamp dt:dt="r8">4423965571168</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2016-01-26T17:03:20Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Fractal Experiment-415-1	60.020	1.0.0.253	1	149717173	Standard	2.0.10.356	2.0.10.356	01-26-2016	1/26/2016 5:03:20 PM	11:03:20	2.0.10.252	83	1	83	1	83	858	80	s	s16	fractal	Experiment	Images\fractal277.png	Images\fractal485.png	Images\fractal486.png	Images\fractal487.png	Images\fractal277.png	Images\fractal278.png	Images\fractal279.png	Images\fractal391.png	Images\fractal392.png	Images\fractal393.png	Images\fractal393.png	Images\fractal484.png	sd	1	1	1	6500	725074	ds	dd
Fractal Experiment	415	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2016-01-26T17:03:20Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2337939</Frequency><Timestamp dt:dt="r8">4423965571168</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2016-01-26T17:03:20Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Fractal Experiment-415-1	60.020	1.0.0.253	1	149717173	Standard	2.0.10.356	2.0.10.356	01-26-2016	1/26/2016 5:03:20 PM	11:03:20	2.0.10.252	84	2	84	1	84	674	44	a	a2	fractal	Experiment	Images\fractal108.png	Images\fractal111.png	Images\fractal111.png	Images\fractal111.png	Images\fractal108.png	Images\fractal108.png	Images\fractal108.png	Images\fractal109.png	Images\fractal109.png	Images\fractal110.png	Images\fractal110.png	Images\fractal111.png	s	1	2	2	1363	728234	d	s
Fractal Experiment	415	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2016-01-26T17:03:20Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2337939</Frequency><Timestamp dt:dt="r8">4423965571168</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2016-01-26T17:03:20Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Fractal Experiment-415-1	60.020	1.0.0.253	1	149717173	Standard	2.0.10.356	2.0.10.356	01-26-2016	1/26/2016 5:03:20 PM	11:03:20	2.0.10.252	85	1	85	1	85	990	90	s	s26	fractal	Experiment	Images\fractal404.png	Images\fractal362.png	Images\fractal363.png	Images\fractal363.png	Images\fractal405.png	Images\fractal406.png	Images\fractal407.png	Images\fractal250.png	Images\fractal250.png	Images\fractal251.png	Images\fractal251.png	Images\fractal361.png	dd	0	1	2	2944	733298	ss	ds
Fractal Experiment	415	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2016-01-26T17:03:20Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2337939</Frequency><Timestamp dt:dt="r8">4423965571168</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2016-01-26T17:03:20Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Fractal Experiment-415-1	60.020	1.0.0.253	1	149717173	Standard	2.0.10.356	2.0.10.356	01-26-2016	1/26/2016 5:03:20 PM	11:03:20	2.0.10.252	86	2	86	1	86	652	86	s	s22	fractal	Experiment	Images\fractal343.png	Images\fractal371.png	Images\fractal372.png	Images\fractal372.png	Images\fractal344.png	Images\fractal345.png	Images\fractal345.png	Images\fractal440.png	Images\fractal441.png	Images\fractal442.png	Images\fractal443.png	Images\fractal370.png	ds	1	2	2	4349	739418	dd	ds
Fractal Experiment	415	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2016-01-26T17:03:20Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2337939</Frequency><Timestamp dt:dt="r8">4423965571168</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2016-01-26T17:03:20Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Fractal Experiment-415-1	60.020	1.0.0.253	1	149717173	Standard	2.0.10.356	2.0.10.356	01-26-2016	1/26/2016 5:03:20 PM	11:03:20	2.0.10.252	87	2	87	1	87	899	30	p	p2	fractal	Experiment	Images\fractal59.png	Images\fractal59.png	Images\fractal59.png	Images\fractal59.png	Images\fractal59.png	Images\fractal59.png	Images\fractal59.png	Images\fractal60.png	Images\fractal60.png	Images\fractal60.png	Images\fractal60.png	Images\fractal59.png	s	1	2	2	3033	744466	d	s
